                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57037,                 5.6977,                 4.9626,                0.86635,                0.01775,                0.67152,                 0.0364,                0.03478,                0.01773,                0.67071,                0.03639,                0.02905,                0.40272,                  1.754,                 3.8834,                0.79973,             3.3167e-05,             3.3167e-05,             3.3167e-05
                      2,                0.39602,                 1.3667,                 3.3687,                0.80856,                0.21545,                0.44776,                0.22942,                0.21895,                0.21545,                0.44776,                0.22936,                0.18387,                0.34489,                 1.0274,                 2.4995,                 0.7878,             6.5403e-05,             6.5403e-05,             6.5403e-05
                      3,                0.36625,                0.93883,                 2.1456,                0.80747,                0.59493,                0.73581,                0.72813,                0.70373,                0.59482,                0.73565,                0.72779,                0.61151,                0.30387,                0.77231,                 1.4862,                0.78045,             9.6539e-05,             9.6539e-05,             9.6539e-05
                      4,                0.33845,                0.75145,                 1.3043,                0.80338,                0.91424,                0.90144,                0.96057,                0.92812,                0.91405,                0.90128,                0.96019,                0.81722,                0.29137,                  0.645,                0.84944,                0.77679,              9.505e-05,              9.505e-05,              9.505e-05
                      5,                0.32209,                0.64952,                0.88405,                0.79787,                0.97018,                0.95064,                0.98336,                0.95445,                0.97018,                0.95064,                0.98307,                0.84884,                0.27452,                0.57044,                0.62314,                0.77295,              9.505e-05,              9.505e-05,              9.505e-05
                      6,                0.30506,                0.56891,                0.69599,                0.79319,                0.98437,                0.97061,                0.98803,                0.95923,                0.98422,                0.97045,                0.98751,                0.85696,                0.26819,                0.49724,                 0.5186,                0.77038,               9.34e-05,               9.34e-05,               9.34e-05
                      7,                0.29393,                0.51295,                0.59748,                0.79015,                0.98847,                0.97784,                0.98945,                0.96562,                0.98832,                0.97745,                0.98898,                0.86398,                0.25541,                0.47633,                0.46511,                0.76813,              9.175e-05,              9.175e-05,              9.175e-05
                      8,                0.28562,                0.47676,                0.54458,                0.78984,                0.99056,                0.98133,                0.99043,                0.96633,                0.99061,                0.98119,                0.99021,                0.86518,                0.24988,                0.44859,                0.43719,                0.76683,               9.01e-05,               9.01e-05,               9.01e-05
                      9,                0.27859,                0.44161,                0.50813,                 0.7865,                0.99207,                0.98292,                0.99096,                0.96894,                0.99209,                0.98252,                0.99079,                0.87068,                0.24413,                0.42756,                0.41674,                0.76585,              8.845e-05,              8.845e-05,              8.845e-05
                     10,                 0.2746,                0.42473,                0.48097,                 0.7875,                0.99165,                  0.984,                0.99152,                0.97056,                0.99201,                0.98373,                0.99139,                0.87825,                0.24159,                0.40526,                0.40009,                0.76553,               8.68e-05,               8.68e-05,               8.68e-05
                     11,                0.27196,                0.41099,                0.45802,                0.78475,                  0.992,                0.98555,                0.99193,                0.97096,                0.99183,                0.98509,                0.99171,                0.87726,                0.23726,                0.39072,                0.38706,                0.76385,              8.515e-05,              8.515e-05,              8.515e-05
                     12,                0.26547,                0.38817,                0.43908,                 0.7855,                0.99429,                0.98459,                0.99194,                0.97011,                0.99432,                0.98428,                0.99183,                0.87375,                0.24179,                0.37312,                0.37632,                0.76404,               8.35e-05,               8.35e-05,               8.35e-05
                     13,                0.26408,                0.37958,                0.42603,                0.78526,                0.99394,                0.98522,                0.99239,                0.97291,                0.99377,                0.98506,                0.99221,                0.87903,                0.23547,                0.38605,                 0.3644,                0.76342,              8.185e-05,              8.185e-05,              8.185e-05
                     14,                0.26017,                0.36954,                0.41747,                0.78523,                0.99386,                0.98674,                0.99253,                0.97452,                0.99353,                0.98641,                0.99228,                 0.8819,                0.22936,                0.36665,                 0.3583,                0.76254,               8.02e-05,               8.02e-05,               8.02e-05
                     15,                0.25649,                0.35572,                0.40512,                0.78344,                0.99413,                0.98668,                0.99261,                0.97477,                0.99391,                0.98635,                0.99244,                0.88358,                0.22652,                0.35047,                0.35101,                0.76193,              7.855e-05,              7.855e-05,              7.855e-05
                     16,                0.25221,                0.34623,                0.39362,                0.78202,                0.99502,                0.98583,                0.99279,                0.97495,                0.99485,                0.98566,                0.99245,                0.88045,                0.22664,                0.34436,                0.34412,                 0.7619,               7.69e-05,               7.69e-05,               7.69e-05
                     17,                0.24904,                0.34129,                0.38166,                0.78077,                0.99534,                0.98681,                0.99297,                0.97552,                0.99503,                0.98643,                0.99258,                 0.8841,                 0.2237,                0.35665,                0.33482,                0.76137,              7.525e-05,              7.525e-05,              7.525e-05
                     18,                0.24757,                0.33447,                 0.3745,                0.78077,                0.99523,                0.98724,                0.99314,                0.97618,                0.99503,                0.98693,                0.99286,                0.88124,                0.22086,                0.35205,                0.32918,                0.76065,               7.36e-05,               7.36e-05,               7.36e-05
                     19,                0.24535,                0.33011,                0.37224,                0.77984,                0.99598,                0.98781,                0.99328,                0.97724,                0.99582,                0.98764,                0.99304,                0.88154,                0.21858,                0.35942,                0.32522,                0.76023,              7.195e-05,              7.195e-05,              7.195e-05
                     20,                0.24383,                0.32136,                0.36519,                 0.7818,                0.99578,                0.98834,                0.99335,                0.97649,                0.99561,                0.98818,                0.99325,                0.88454,                0.21649,                0.33822,                0.32112,                0.76022,               7.03e-05,               7.03e-05,               7.03e-05
                     21,                0.24038,                0.31525,                0.35602,                0.77943,                0.99532,                 0.9889,                0.99329,                0.97784,                0.99519,                0.98871,                0.99328,                0.88474,                0.21483,                0.34386,                0.31707,                0.75991,              6.865e-05,              6.865e-05,              6.865e-05
                     22,                0.23862,                0.31343,                0.35262,                 0.7804,                0.99544,                0.98924,                0.99359,                 0.9786,                0.99527,                0.98908,                0.99328,                0.88599,                0.21337,                 0.3322,                0.31155,                0.75971,                6.7e-05,                6.7e-05,                6.7e-05
                     23,                0.23636,                 0.3063,                0.34629,                0.77921,                0.99509,                0.98869,                0.99361,                0.97844,                0.99509,                0.98869,                0.99353,                0.88801,                0.21082,                0.32591,                0.30718,                0.75942,              6.535e-05,              6.535e-05,              6.535e-05
                     24,                0.23625,                0.30931,                0.34409,                  0.779,                 0.9956,                0.98864,                 0.9936,                0.97878,                0.99587,                0.98824,                0.99327,                 0.8883,                 0.2115,                0.30674,                0.30594,                0.75954,               6.37e-05,               6.37e-05,               6.37e-05
                     25,                 0.2329,                0.30396,                0.33957,                0.77855,                0.99571,                0.98808,                0.99361,                0.97925,                0.99587,                0.98761,                0.99326,                0.88721,                0.20976,                0.32381,                0.29965,                0.75943,              6.205e-05,              6.205e-05,              6.205e-05
                     26,                0.23232,                0.29917,                0.33467,                0.77909,                 0.9959,                0.98833,                0.99387,                0.98028,                0.99589,                0.98803,                0.99356,                 0.8855,                0.20829,                0.32759,                0.29581,                0.75901,               6.04e-05,               6.04e-05,               6.04e-05
